stage,base_model_type,base_params,boundary_model_type,boundary_params,boundary_apply,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_off_by_one_accuracy,validation_mae,validation_high_priority_recall_p1_p2,validation_low_priority_recall_p4_p5,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_off_by_one_accuracy,natural_mae,natural_high_priority_recall_p1_p2,natural_low_priority_recall_p4_p5,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
boundary_refined,sgd_log,alpha=0.03,sgd_log,alpha=0.03,base_1_2,1.3,1.8524900303276333,0.6896,0.687210030327633,0.6872100303276331,0.9,0.4536,0.872,0.804,0.576,0.696,0.876,0.576,0.724,0.721608040201005,0.7206332153424773,0.7207874750129225,0.9035175879396985,0.40904522613065325,0.8740554156171285,0.8291457286432161,0.6030150753768844,0.7121212121212122,0.87,0.6834170854271356,0.7386934673366834
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.05,base_1_2_3,1.3,1.8522825500144466,0.6912,0.6900425500144464,0.6900425500144463,0.9,0.4528,0.876,0.796,0.58,0.68,0.876,0.608,0.712,0.7256281407035176,0.7254144527580826,0.725561411437226,0.9035175879396985,0.4050251256281407,0.8765743073047859,0.8140703517587939,0.6180904522613065,0.7222222222222222,0.87,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.03,sgd_log,alpha=0.03,base_1_2_3,1.3,1.8518557546097458,0.688,0.6863357546097457,0.6863357546097457,0.8992,0.456,0.878,0.804,0.576,0.704,0.86,0.576,0.724,0.7185929648241206,0.718184672172202,0.7183325379378117,0.9035175879396985,0.4120603015075377,0.8765743073047859,0.8291457286432161,0.6030150753768844,0.7171717171717171,0.85,0.6834170854271356,0.7386934673366834
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2_3,1.1,1.8517500391737394,0.6912,0.6898300391737394,0.6898300391737394,0.8976,0.4552,0.874,0.796,0.592,0.66,0.884,0.608,0.712,0.7236180904522613,0.7233234735193301,0.7234767723730164,0.9025125628140703,0.40804020100502514,0.8765743073047859,0.8140703517587939,0.6231155778894473,0.7070707070707071,0.87,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.01,sgd_log,alpha=0.03,base_1_2,1.3,1.8500759354824052,0.692,0.6898359354824051,0.6898359354824052,0.8976,0.4576,0.872,0.814,0.556,0.716,0.872,0.592,0.724,0.7155778894472362,0.7153942855344518,0.7155289568208287,0.9015075376884422,0.4150753768844221,0.8790931989924433,0.8241206030150754,0.6030150753768844,0.7222222222222222,0.835,0.6733668341708543,0.7437185929648241
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2,1.1,1.8499151429719898,0.692,0.6901551429719898,0.6901551429719898,0.9008,0.4496,0.868,0.796,0.592,0.648,0.9,0.616,0.704,0.7276381909547739,0.7269058949939778,0.7270642732657187,0.9015075376884422,0.4050251256281407,0.8690176322418136,0.8190954773869347,0.6231155778894473,0.696969696969697,0.885,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.03,sgd_log,alpha=0.03,base_1_2_3,1.4,1.849482365851857,0.688,0.6862023658518577,0.6862023658518577,0.8984,0.4568,0.88,0.804,0.564,0.72,0.856,0.576,0.724,0.7185929648241206,0.7183194380237733,0.7184553529303499,0.9025125628140703,0.4130653266331658,0.8765743073047859,0.8291457286432161,0.5979899497487438,0.7323232323232324,0.84,0.6834170854271356,0.7386934673366834
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2_3,1.0,1.848918658679776,0.6912,0.6897186586797758,0.6897186586797758,0.9008,0.4504,0.876,0.796,0.604,0.636,0.896,0.616,0.704,0.7266331658291457,0.7263027297998444,0.7264509114690901,0.9015075376884422,0.40904522613065325,0.8765743073047859,0.8190954773869347,0.6331658291457286,0.702020202020202,0.865,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.01,sgd_log,alpha=0.03,base_1_2_3,1.4,1.8489146381421848,0.6912,0.6892346381421844,0.6892346381421844,0.8976,0.4584,0.876,0.814,0.548,0.732,0.86,0.592,0.724,0.7135678391959799,0.7138156007535161,0.7139388493647183,0.8994974874371859,0.4190954773869347,0.8790931989924433,0.8241206030150754,0.5979899497487438,0.7373737373737373,0.815,0.6733668341708543,0.7437185929648241
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.05,base_1_2_3,1.2,1.8486894203470952,0.6912,0.6896494203470948,0.6896494203470949,0.9,0.4528,0.874,0.796,0.58,0.672,0.884,0.608,0.712,0.7286432160804021,0.7283471997337688,0.7284923400110213,0.9035175879396985,0.4020100502512563,0.8765743073047859,0.8140703517587939,0.628140703517588,0.7222222222222222,0.875,0.6834170854271356,0.7336683417085427
