stage,base_model_type,base_params,p1p2_model_type,p1p2_params,p1_sample_weight,p2p4_model_type,p2p4_params,p4_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.6,1.579220937394545,0.6912,0.689301562324241,0.6893015623242411,0.6912,0.6,0.9016,0.4472,0.624,0.6,0.896,0.632,0.704,0.721608040201005,0.7203314319932994,0.7204970593425299,0.7213732805441347,0.6381909547738693,0.9035175879396985,0.41105527638190953,0.6381909547738693,0.6414141414141414,0.875,0.7185929648241206,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.1,1.6,1.579220937394545,0.6912,0.689301562324241,0.6893015623242411,0.6912,0.6,0.9016,0.4472,0.624,0.6,0.896,0.632,0.704,0.7206030150753768,0.7193715863414428,0.7195388293026241,0.7203682554185066,0.6381909547738693,0.9025125628140703,0.4130653266331658,0.6381909547738693,0.6414141414141414,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.0,1.5788858947901783,0.6912,0.68894315798363,0.6889431579836299,0.6912,0.6,0.9024,0.448,0.624,0.6,0.896,0.624,0.712,0.7175879396984924,0.716310547110836,0.7164681700990296,0.7173582559260951,0.6331658291457286,0.9035175879396985,0.414070351758794,0.6331658291457286,0.6464646464646465,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.6,1.5774933909151074,0.696,0.6938223181918459,0.693822318191846,0.6960000000000001,0.592,0.9008,0.4472,0.624,0.592,0.896,0.664,0.704,0.7286432160804021,0.7277351705001089,0.7278856985062637,0.7284186081924775,0.6515151515151515,0.8994974874371859,0.40603015075376886,0.6582914572864321,0.6515151515151515,0.875,0.7236180904522613,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.1,1.0,1.5767076898643062,0.6904,0.6881794831071771,0.6881794831071771,0.6904,0.6,0.9008,0.4512,0.624,0.6,0.896,0.62,0.712,0.7175879396984924,0.7162815276197627,0.7164375545580801,0.7173582559260951,0.6331658291457286,0.9025125628140703,0.41608040201005025,0.6331658291457286,0.6464646464646465,0.875,0.6984924623115578,0.7336683417085427
p1p2_boundary,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,,,1.0,1.576551100901394,0.6896,0.6874518348356566,0.6874518348356566,0.6896000000000001,0.608,0.8992,0.4544,0.624,0.608,0.896,0.608,0.712,0.7155778894472362,0.7144890172563757,0.7146511256508223,0.7153532815593117,0.6331658291457286,0.8994974874371859,0.4221105527638191,0.6331658291457286,0.6515151515151515,0.875,0.6834170854271356,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.6,1.5754619085241823,0.692,0.6897031808736374,0.6897031808736374,0.692,0.596,0.9024,0.4464,0.628,0.596,0.896,0.628,0.712,0.7226130653266332,0.7214668961592763,0.7216130364483422,0.7223884574387086,0.6482412060301508,0.9045226130653267,0.4050251256281407,0.6482412060301508,0.6515151515151515,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.6,1.5754619085241823,0.692,0.6897031808736374,0.6897031808736374,0.692,0.596,0.9024,0.4464,0.628,0.596,0.896,0.628,0.712,0.7236180904522613,0.7224381172557335,0.7225826164901407,0.7233934825643368,0.6482412060301508,0.9055276381909547,0.4030150753768844,0.6482412060301508,0.6515151515151515,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.03,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.3,1.5751523386792552,0.6872,0.6852538977987587,0.6852538977987587,0.6872,0.608,0.9016,0.4544,0.624,0.612,0.868,0.608,0.724,0.7266331658291457,0.7258075173276854,0.7259471695309343,0.7264439368559972,0.6582914572864321,0.9025125628140703,0.4050251256281407,0.6582914572864321,0.6717171717171717,0.86,0.7035175879396985,0.7386934673366834
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.3,1.5740131218148163,0.6912,0.6888885363580268,0.6888885363580268,0.6912,0.596,0.9032,0.4464,0.624,0.596,0.896,0.628,0.712,0.7175879396984924,0.7162234751477535,0.7163813237054962,0.7173531800416222,0.6331658291457286,0.9025125628140703,0.41608040201005025,0.6331658291457286,0.6414141414141414,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.1,1.3,1.5740131218148163,0.6912,0.6888885363580268,0.6888885363580268,0.6912,0.596,0.9032,0.4464,0.624,0.596,0.896,0.628,0.712,0.7165829145728643,0.7152558207426767,0.7154152687764966,0.716348154915994,0.6331658291457286,0.9015075376884422,0.41809045226130653,0.6331658291457286,0.6414141414141414,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.03,1.3,1.573533877275765,0.6936,0.6912231287929415,0.6912231287929415,0.6936,0.592,0.9032,0.4448,0.628,0.592,0.896,0.64,0.712,0.7226130653266332,0.7213457218948232,0.7214938026597284,0.722378305669763,0.6414141414141414,0.9035175879396985,0.40703517587939697,0.6482412060301508,0.6414141414141414,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.03,1.0,1.572178882473167,0.6904,0.6880981374552778,0.6880981374552778,0.6904,0.596,0.9024,0.448,0.624,0.596,0.896,0.624,0.712,0.7175879396984924,0.7162508456182987,0.7164102936521185,0.7173531800416222,0.6331658291457286,0.9035175879396985,0.414070351758794,0.6331658291457286,0.6414141414141414,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.6,1.5669606762206918,0.6904,0.6880677937011532,0.6880677937011532,0.6904,0.592,0.9024,0.448,0.624,0.592,0.896,0.628,0.712,0.7185929648241206,0.7171663200234907,0.7173209454556372,0.7183582051672504,0.6331658291457286,0.9045226130653267,0.4120603015075377,0.6331658291457286,0.6414141414141414,0.875,0.7085427135678392,0.7336683417085427
